ID;STATION CODE;LOCATIONS;STATE;Temp;TempW;DO;DOW;Conductivity;ConductivityW;NI;NIW;WQI;WQI clf
1437;2168;MITHI RIVER;MAHARASHTRA;32;0.86;0.7;0.05;12697;0.193;1.32;0.012052627;493.133127;0
1451;1155;KARAMANA AT MOONNATTUMUKKU;KERALA;26;0.53;1.8;0.15;2012;0.03;1.8;0.016468856;566.4111104;0
1470;1573;IRUMPANAM. KERALA;KERALA;30;0.75;2.4;0.2;221;0.003;3.97;0.036433895;77.56368203;0
1476;2289;R KARUVANNURR AT KARUVANNUR BDG.;KERALA;27;0.58;5.5;0.49;75;0.001;0.1;0.000828043;81.13714638;0
1477;2290;R PUZHACKAL AT PUZHACKAL BRIDGE;KERALA;31;0.81;5.4;0.48;102;0.001;0.1;0.000828043;78.24297333;0
1479;2292;R THIRUR AT THALAKKADATHUR BRIDGE;KERALA;28;0.64;5.8;0.51;87;0.001;0.1;0.000828043;50.72942551;0
1497;2337;R KADAMBAYAR AT BRAHMAPURAM;KERALA;29;0.69;1.7;0.14;181;0.003;0.45;0.004048211;90.15419739;0
1500;1455;RUSHIKULYA AT GANJAM U/S. ORISSA;ODISHA;32;0.86;7.7;0.69;266;0.004;1.01;0.009200478;112.4526067;0
1501;1456;RUSHIKULYA AT GANJAM D/S. ORISSA;ODISHA;32;0.86;6.8;0.61;16468;0.251;2;0.018308952;79.75470928;0
1502;1642;NAGAVALLI AT JAYKAYPUR D/S. ORISSA;ODISHA;28;0.64;7.5;0.67;233;0.003;0.89;0.008096421;135.6737406;0
1503;1643;NAGAVALLI AT RAYAGADA D/S. ORISSA;ODISHA;26;0.53;7.6;0.68;233;0.003;1.43;0.013064679;110.3863936;0
1512;1450;PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK. TAMILNADU;TAMILNADU;27;0.58;6.8;0.61;749;0.011;0.36;0.003220167;77.58610261;0
1513;1444;KALI AT D/S WEST COAST PAPER MILL. KARNATAKA;KARNATAKA;26;0.53;6.9;0.61;252;0.004;1;0.009108474;88.05058899;0
1515;1892;NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT;KARNATAKA;31;0.81;7;0.62;40;0;0.52;0.004692244;50.97128203;0
1518;1884;KALA AMB D/S MARKANDA RIVER;HARYANA;24;0.42;3.8;0.33;1424;0.022;0.66;0.005980311;1448.853631;0
1519;1870;RIVER SUKHANA AT PARWANOO. DISTT. SOLAN. H.P.;HIMACHAL PRADESH;23;0.36;4.9;0.43;704;0.011;0.52;0.004692244;93.08936812;0
1520;1023;GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA). PUNJAB;PUNJAB;20;0.19;5.9;0.52;703;0.011;2.05;0.018768976;141.2211586;0
1521;1024;GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA).PUNJAB;PUNJAB;21;0.25;5.3;0.47;1095;0.017;3.35;0.030729598;1399.946254;0
1522;1025;GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA.DEBWALI ROAD.HARYANA;HARYANA;30;0.75;6.7;0.6;1094;0.016;19.4;0.178397277;195.2524162;0
1523;1026;GHAGGAR GHNAN2 AT CHANDARPUR SYPHON.;HARYANA;30;0.75;6.2;0.55;1312;0.02;17.7;0.162756463;245.2863443;0
1524;1295;GHAGGAR NEAR BANKARPUR.DERA BASSI.PUNJAB;PUNJAB;21;0.25;5.7;0.5;732;0.011;2.4;0.021989143;273.6195791;0
1525;1473;GHAGGAR AT RATANHERI. D/S OF PATIALA NADI (AFTER CONFL.). PUNJAB;PUNJAB;21;0.25;5;0.44;983;0.015;3.05;0.027969454;1023.668274;0
